1118;4;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Uniformiser les règles de contrôle de cohérences lors de la recherche par ND /  MSISDN quelque soit le portail d'accès à SOFT sur l'écran d'accueil.";"Simplifier les règles de gestion de l'écran d'accueil SOFT sur la cohérence du ND / MSISDN.";"Christophe";"Pour tous portails, je veux que la commande soit bloquée lorsque :

- le ND dans SOFT est convergent et que le client est en acquisition mobile (envoyé via l'URL ou saisi) (voir RG 1.100)

- le ND dans SOFT est convergent et que le MSISDN est incohérent (warning 1 remontée du FindAndGetCommercialInstalledBase - voir RG1.101)

- le ND dans SOFT est NON convergent et que le MSISDN est OPEN ou SOSH mobiel + LB (ND/MSISDN saisi dans SOFT ou envoyé via une URL - voir RG1.102)

- Blocage à l'écran d'accueil SOFT lors que le client possède une offre NET & UNIK (RG1.105)";"Uniformisation des règles de contrôle de cohérences lors de la recherche par ND /  MSISDN  :
- Création des RG1.100, 1.101, 1.102, 1.103 et 1.104
- Suppression des RG1.19, 1.22, 1.23, 1.902, 1.904, 1.11 et 1.901

RG Net & Unik :
- Suppression des RG 16, 17 et 18
- Création de la RG 1.105";;10;10;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonSoftnonRedirect";;;;;"finLigne"
1121;4;"Story";"Forfait internationnal OOP";;;"commander un mobile à la VAD avec un forfait inernational";"le niveau de subvention soit en rapport avec mon forfait";"Olivier";"Vérifier que les valeurs de sortie côté SOFT pour envoi à la VAD sont bien:
""OPRTE"" ,
 ""NPRTE""";"le code de Soft soit modifié de manière à intégrer le libellé du label de la property à laquelle est attachée la classification E des différents forfaits mobiles qui lui sont associés dans le carde d'une acquisition ou d'un PRT d'une OOP.";"SOFT
Catalogue";8;8;;"ctalogue 703";"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.AccesPrtVad";;;;;"finLigne"
1122;4;"Story";"MIB4";;;"Tests catalogue";;"Didier";;;;3;3;;;;;;;;"finLigne"
"H1601";4;"Story";"DM1_13_095_suppression getcustomer 

STORY DELEGUEE QUAD ";;;"supprimer l'appel du GetCustomer sur certains parcours via Frodon avec contrat source ou contrat cible Fibre";"cet appel est inutile dans certains cas";"Zakia
Mathieu";"Attention pour la qualif : tests 3 à 3 (Soft / Façade / Parsifal) à prévoir + non régression. Les commandes ne doivent pas être rejetées par Parsifal

Cas 1) : migration d'une livebox zen sans abo vers une livebox zen Fibre

Cas 2) : déménagement intra DR d'une livebox zen Fibre (old) vers livebox zen fibre New (FSCA) : 

Vérifier dans les 2 cas :
-  A l'étape création de la ligne que l'appel du GetCustomer (via ID Frégate et code DR) n'est pas effectué 
- Dans le CCO V0 que le BOID présent dans le parc se retrouve dans le champs holder.partyID
";"Contexte :  Parcours via Frodon (valable pour tous les contrats  Fibre  : Fibre Old, Fibre New,Open Fibre Old ET Open Fibre New) : 
1/*Migration Adsl vers Fibre 
  * appel au Getcustomer à  enlever
*Déménagements Adsl vers Fibre ou Fibre vers ADSL ou Fibre vers Fibre
 *intra-DR appel au Getcustomer à enlever
 * extra-DR, appel au GetCustomer à maintenir
2/ pour les cas où le getCustomer est supprimé, désigner le BOID du parc comme le BOID de la commande";"Soft";8;8;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CreationClientLigneCompte";;;;;"finLigne"
"#";5;"it.";;19/02/15;;"ITERATION 05 du 19/02 au 05/03";;" ";;;;41;41;0;;;0;;;"35 pcx";"finLigne"
1091;5;"Story";"Perco";;;"Intégration des TS de février";;"Julien/Frédéric";;;;13;13;;;;;;;;"finLigne"
1085;5;"Story";"DM1 15-XX Perform Lot 1B";;"client";"PERFORM -
voir la mensualité d'étalement Perform dans la revue de commande imprimée en boutique ou reçue par mail";"l'énumération des services payant soit cohérente avec le montant total d'abonnement";"Patrick";"prise de commande d'une acquisition ou migration Open avec souscription d'un terminal mobile en étalementde paiement

Vérifications : 
En boutique (POCD) connecté à SANTOS la mensualité d'étalement apparait sous le nom du mobile souscrit dans la rubrique ""vos équipements"" de la section ""depuis votre mobile"" du pdf de la revue de commande 
santos mocké il doit y avoir deux instance du champ ""MaterielMobile"" une avec le nom du mobile suivi d'une avec la mensualité d'étalement.

En service client connecté à SCRIBE la mensualité d'étalement apparait dans la rubrique ""vos équipements"" de la section ""depuis votre mobile"" du mail de la revue de commande sous le nom du mobile souscrit.
Si SCRIBE est bouchonné le champ ""content33"" contien les deux informations séparées par le caractère ""pipe"" =>  <nomdumobile>|<mensualite_etalement>";"SOFT écran récapitulatif de commande commande avec étalement mobile en boutique ou en service client
SANTOS
créer une règle de valorisation du mobile souscrit dans le champ ""MaterielMobile""
créer une règle de valorisation d'une 2ème instance du champ ""MaterielMobile"" pour la mensualité d'étalement (concaténation spécifique)
SCRIBE
créer une règle de valorisation de la mensualité d'étalement pour la revue de commande SCRIBE (concaténé avec le libellé du terminal dans le champ content33 séparé par caractère ""pipe"")
Le libellé de la mensualité d'étalement fait l'objet d'une concaténation spécifique identique à la concaténation SANTOS";"Soft
catalogue";8;8;;"C553";"
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.GenererImprimerContrat

http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.EnvoyerMailRevueCommande";;;;;"finLigne"
1123;5;"Story";"DM1 15-XX Perform Lot 1B";;"client";"PERFORM
restituer qu'il s'agit de l'apport initial pour les frais d'acquisition du terminal mobile dans la revue de commande";"d'éviter les confusion avec le prix comptant du terminal mobile";"Patrick";"exemple de resitution

• DORO PHONE EASY 621 GRAPHITE CU à 19.90 € TTC (apport initial)";"écran récapitulatif de commande en boutique ou étape validatin de la commande en service client
créer une règle de concaténation spécifique quand les frais correspondent à un terminal mobile en contexte  PERFORM
1) pour le flux SANTOS ""contrat""
2) pour le flux  SCRIBE";"SOFT";5;5;;;"
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.GenererImprimerContrat

http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.EnvoyerMailRevueCommande";;;;;"finLigne"
1095;5;"Story";"DM1 15-XX Perform Lot 1B";;;"Perform - Lot 1B - Ouverture de parcours
POCD (Convergent)
Ouverture des parcours de Modification (partie MS uniquement, et d'acquisition de Terminal pour un client ayant créé un dossier mobile il y a moins de 30 jours
+ Suppression RG5.34
+ Ajout d'un message aux RG1bis.9, RG1bis.10 et RG1bis.11";"un client ayant créé un dossier mobile il y a moins de 30 jours puisse faire un parcours de modif (MS uniquement), de déménagement iso-offre (MS uniquement) ou une commande de terminal Perform";"Xavier/Stéphanie";"Via POCD Convergent, pour un client convergent créé il y a moins de 30 jours et éligible à Perform, voir à l'accueil:
- le message + consigne définit dans la RG1bis.12
- l'opération Acquérir/Changer de Terminal
- l'opération Modifier l'offre actuelle (pas de décrochage vers IODA après le configurateur)
- l'opération Déménagement iso-offre (pas de décrochage vers IODA après le configurateur)

Via POCD Convergent, pour un client convergent créé il y a moins de 30 jours et non éligible à Perform, voir à l'accueil:
- le message + consigne définit dans la RG1bis.12
- l'opération Modifier l'offre actuelle (pas de décrochage vers IODA après le configurateur)
- l'opération Déménagement iso-offre (pas de décrochage vers IODA après le configurateur)

En choix Mobile ou Convergent, pour un client ayant un changement d'offre en cours sur la partie Mobile, voir à l'accueil la bonne consigne (RG1bis.9, RG1bis.10 et RG1bis.11)";"Suppression RG1.911 : blocage en POCD QUAD
Création RG1bis.12 (avec gestion d’un message) pour ouvrir les opérations Modifier, Déménager et Terminal seul (Convergent)
Suppression RG5.34
Ajout d'un message aux RG1bis.9, RG1bis.10 et RG1bis.11
";;5;5;;;"RG1: http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonSoftnonRedirect
RG1bis: http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonOpSoftnonRedirect
RG5: http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasSoftavecMessages";;;;;"finLigne"
1117;5;"Story";"DM1 15-XX Perform Lot 1B";;;"Perform - Lot 1B - Ne pas effectuer la deuxième DA IPAY :
- Si Paiement d'un terminal avec étalement, client < 4 mois et homologué
- Si Paiement d'un terminal avec étalement, client > 4 mois 
- Si Paiement d'un terminal avec étalement, client en recouvrement ";"Puisque dans ces cas, la DA ne peut pas être récupérée";"Xavier";"IHM si client < 4 mois et homologué pour un paiement de Terminal avec étalement (TEL, FID, CTC, 700, OFP): 
- ne pas voir la ligne ""Montant différentiel"" et le montant calculé ainsi que le picto et le message infobulle
- ne pas voir la checkbox et le message informatif (j'ai bien informé mon client…) concernant le montant différentiel
- ne rien voir concernant le montant différentiel dans le CCO (filière 2D)
=> idem paiement comptant

IHM si client > 4 mois pour un paiement de Terminal avec étalement (TEL, FID, CTC, 700, OFP): 
- ne pas voir la ligne ""Montant différentiel"" et le montant calculé ainsi que le picto et le message infobulle
- ne pas voir la checkbox et le message informatif (j'ai bien informé mon client…) concernant le montant différentiel
- ne rien voir concernant le montant différentiel dans le CCO (filière 2D)
=> idem paiement comptant

IHM client en recouvrement pour un paiement de Terminal avec étalement (700, OFP uniquement): 
- ne pas voir la ligne ""Montant différentiel"" et le montant calculé ainsi que le picto et le message infobulle
- ne pas voir la checkbox et le message informatif (j'ai bien informé mon client…) concernant le montant différentiel
- ne rien voir concernant le montant différentiel dans le CCO (filière 2D)
=> idem paiement comptant";;;5;5;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.PaiementMobile";;;;;"finLigne"
